class,xmin,ymin,xmax,ymax
0.0,16.156462,14.55841,27.225698,24.772522
0.0,128.03607,68.25676,140.7433,80.09495
0.0,128.77138,112.62729,139.37036,122.24092
0.0,128.5417,141.10503,139.16588,153.08984
0.0,128.33722,170.77104,138.9529,180.55672
0.0,128.14948,191.33847,138.80522,205.77252
0.0,127.93582,221.08955,138.5916,234.47083
0.0,126.779045,237.05171,138.47644,248.26271
0.0,126.33149,294.44565,138.06424,308.15262
0.0,126.16758,317.4557,136.83777,329.98483
0.0,126.00346,340.49585,136.67163,351.94052
0.0,12.796223,327.1227,22.961828,339.3583
0.0,13.264528,284.52762,24.412811,295.6017
0.0,13.564115,256.56067,24.704212,267.5451
0.0,13.71971,242.03537,23.850626,252.89282
0.0,15.327872,185.2314,24.444645,195.8565
0.0,14.185728,198.5314,24.305048,209.2602
0.0,15.161812,106.303375,25.268415,117.87186
0.0,15.019286,120.71673,26.11962,131.26758
0.0,15.850585,134.08397,24.978779,146.79713
0.0,15.399113,85.259026,25.48823,95.65408
0.0,15.624271,63.13437,25.719334,74.573296
0.0,15.77817,49.872986,26.857752,60.19891
0.0,16.002872,27.793016,27.087807,39.155838
