class,xmin,ymin,xmax,ymax
0.0,9.736269,-21.828402,20.38281,-2.787542
0.0,143.66124,-90.24331,156.75703,-67.51893
0.0,143.35178,-68.78393,156.3887,-46.32257
0.0,10.352593,27.493692,20.89308,46.019405
0.0,142.9042,-37.750942,155.85602,-15.667455
0.0,141.43669,65.537315,154.08315,84.84666
0.0,10.176954,104.084694,21.685522,122.31829
0.0,9.81738,75.83461,21.393225,94.371185
0.0,11.548956,123.22334,21.883549,140.76784
0.0,10.662242,141.72331,23.210262,160.03775
0.0,141.16818,86.210846,152.49358,103.23603
0.0,140.57155,125.45669,153.05469,144.10162
0.0,139.89897,172.03302,152.25523,190.16881
0.0,139.34485,210.86732,150.386,228.12141
0.0,139.0921,228.89302,152.47806,245.43195
0.0,13.032292,241.46027,24.218536,258.25812
0.0,13.481924,277.44598,24.582357,293.87518
0.0,138.79962,248.14813,150.94875,265.46567
